nodes,names,betweenness_centrality,closeness_centrality,eigenvector_centrality,degree_centrality,load_centrality
合一天使基金,0.00212055347174,0.284305907616,0.00470122310641,0.00930713547053,0.00214914845713
集结号资本,0.00853237682401,0.319265004405,0.0190891837641,0.0217166494312,0.00888548441835
春晓资本,0.0,0.263532715345,0.00172272095594,0.00103412616339,0.0
亚豪资本,0.0,0.255412003524,0.00130392421264,0.00206825232678,0.0
经纬中国,0.105892950412,0.443195635934,0.228693575455,0.148914167528,0.101298849536
贵格天使,3.87097313154e-05,0.278879169166,0.00461891900833,0.00413650465357,4.84980548483e-05
同威创投,0.000396002809589,0.282628036686,0.00332394826463,0.00413650465357,0.000589487834962
微软Microsoft,0.0,0.26369394674,0.00188651613751,0.00103412616339,0.0
元禾控股,0.00113852463716,0.322852251645,0.0145227808909,0.0103412616339,0.00135550195782
VY Capital,7.82063614513e-05,0.31950167231,0.0246702525029,0.00723888314374,9.14540801131e-05
晨晖资本,1.68398985556e-06,0.285058039647,0.00502968641158,0.00206825232678,1.70411508918e-06
华旦天使投资,0.000614214404847,0.324921037276,0.0155341635782,0.00620475698035,0.000667642894088
启明创投,0.025067481074,0.393614388992,0.153103246108,0.0754912099276,0.0243247942741
TA Associates,2.32201748706e-06,0.278518743746,0.00521867447752,0.00310237849018,3.99216233711e-06
泽清资本,0.0,0.00137883488452,6.30762163395e-17,0.00103412616339,0.0
太平洋保险,0.00539183956067,0.321767641617,0.0227231622316,0.0144777662875,0.00516144416364
ONES Ventures,0.0,0.238653242495,0.000433273563597,0.00103412616339,0.0
Infinity Venture Partners,0.00278980725516,0.338709434928,0.0380032063615,0.0144777662875,0.00293611058735
浅石创投,0.000312645574985,0.310636220502,0.00988379373962,0.00517063081696,0.000431744176067
华人文化产业基金,0.000831867935841,0.354884936967,0.0554545211908,0.0186142709411,0.000884442272437
东方园林,0.0,0.298792205162,0.00746162561155,0.00103412616339,0.0
传媒梦工场,0.00096157993636,0.342341347058,0.0269342372447,0.0103412616339,0.000996602254553
IDG资本,0.115699396321,0.449669020288,0.237785404675,0.166494312306,0.110666930178
维度资本(维度创业工场),0.0,0.198118940908,2.2205653664e-05,0.00103412616339,0.0
莉莉丝/刀塔传奇,0.0,0.223146650762,0.0002461592785,0.00103412616339,0.0
达内科技,0.00195263573709,0.292704757858,0.00536092899169,0.00206825232678,0.00195263573709
联创策源,0.0144101875613,0.397242171379,0.118969224563,0.0568769389866,0.0138367973672
银泰资本Ventech,0.00308029483195,0.358128588239,0.0610901624697,0.0217166494312,0.00308659883766
明势资本,0.00871448857501,0.365725715695,0.0599111113351,0.0299896587384,0.00869911170138
新电投资SingTel Innov8,0.00195263573709,0.215073730512,0.000101171169322,0.00206825232678,0.00195263573709
中文在线,0.00390098937826,0.299935807896,0.00777549204379,0.00723888314374,0.00390098937826
观天资本(西科天使基金),0.0,0.233292425411,0.000330661720913,0.00103412616339,0.0
紫辉创投,0.00558130233565,0.343569355079,0.03407168451,0.0227507755946,0.00565722660922
中信产业基金,0.00297680887995,0.366036310782,0.0652710202135,0.0258531540848,0.00304808157769
众晖资本,0.0,0.26837344704,0.00299816050194,0.00206825232678,0.0
极客帮创投,0.0241886805488,0.373652150799,0.071175318468,0.0537745604964,0.0240752091461
探针创投,2.00017762651e-05,0.279150101001,0.0027800533479,0.00206825232678,2.28250351896e-05
UCWEB优视科技,1.28341669749e-05,0.288106788734,0.005314007725,0.00310237849018,1.22181391589e-05
Integral富厚投资,0.00196663539182,0.283278183336,0.00651432172849,0.00413650465357,0.00196984295713
旦恩创投,3.54299864316e-05,0.290632337118,0.00540836248961,0.00413650465357,3.59083295638e-05
Forgame,0.00014038524579,0.292903673766,0.00689355204565,0.00413650465357,0.000248495721003
博思投资,0.0,0.279240528634,0.00459628528664,0.00206825232678,0.0
力鼎资本,0.0021155617343,0.296225261819,0.00658026333327,0.00517063081696,0.00213827081876
顺为基金,0.0226765849496,0.39651127502,0.148727988815,0.0661840744571,0.0221091741185
东方汇富,0.000796547153829,0.306767086083,0.00761825779551,0.00310237849018,0.000974528169325
太浩创投,8.48387634231e-05,0.286574305815,0.00584401437551,0.00413650465357,0.000108212546736
源码资本,0.00642610279487,0.373652150799,0.0878871703221,0.0341261633919,0.0062887830479
上海致景投资,0.000313120358565,0.322248789493,0.0149547637467,0.00827300930714,0.000337554661585
九宇资本,0.00195263573709,0.195645826576,4.98187027658e-05,0.00310237849018,0.00195263573709
江南资本,0.0,0.298792205162,0.00639584431732,0.00103412616339,0.0
世纪长河集团,0.0,0.218563770764,0.000148084198951,0.00103412616339,0.0
携程,0.00257200398432,0.329642643171,0.0415340341443,0.0165460186143,0.00254998441437
e.ventures,0.00040600383138,0.306548901811,0.00874205473025,0.00620475698035,0.000397066349082
青锐创投,0.00584506092352,0.23247451777,0.000203321729828,0.00413650465357,0.00584506092352
鼎峰资本,0.0,0.272014992708,0.00353806103783,0.00206825232678,0.0
雄牛资本,1.38262548422e-05,0.338443467567,0.0289340678442,0.00620475698035,1.39728353731e-05
凯辉私募股权投资基金,4.91696199898e-05,0.31108463078,0.0137045463921,0.00413650465357,6.33433996459e-05
星瀚资本,8.11542007119e-05,0.289753113241,0.00647326472711,0.00517063081696,9.19437509719e-05
达鑫电子,0.0,0.00103412616339,1.97113176061e-18,0.00103412616339,0.0
麦腾创投,0.0,0.301404025137,0.00785825160312,0.00310237849018,0.0
美国中经合集团,0.0031599371019,0.3528512124,0.0445360255529,0.0196483971044,0.00320118284826
